timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721504788011,699,Load Login(for key),200,OK,Login  1-1,text,true,,39684,157,18,18,https://magento.softwaretestingboard.com/customer/account/login,679,0,131
1721504788053,683,Load Login(for key),200,OK,Login  1-2,text,true,,39684,157,19,19,https://magento.softwaretestingboard.com/customer/account/login,669,0,89
1721504788100,651,Load Login(for key),200,OK,Login  1-3,text,true,,39697,157,19,19,https://magento.softwaretestingboard.com/customer/account/login,645,0,106
1721504788133,755,Load Login(for key),200,OK,Login  1-4,text,true,,39680,157,22,22,https://magento.softwaretestingboard.com/customer/account/login,737,0,79
1721504788171,753,Load Login(for key),200,OK,Login  1-5,text,true,,39688,157,23,23,https://magento.softwaretestingboard.com/customer/account/login,740,0,104
1721504788213,712,Load Login(for key),200,OK,Login  1-6,text,true,,39676,157,23,23,https://magento.softwaretestingboard.com/customer/account/login,711,0,79
1721504788252,740,Load Login(for key),200,OK,Login  1-7,text,true,,39687,157,25,25,https://magento.softwaretestingboard.com/customer/account/login,697,0,94
1721504788372,673,Load Login(for key),200,OK,Login  1-10,text,true,,39688,157,26,26,https://magento.softwaretestingboard.com/customer/account/login,672,0,96
1721504788333,743,Load Login(for key),200,OK,Login  1-9,text,true,,39682,157,27,27,https://magento.softwaretestingboard.com/customer/account/login,731,0,78
1721504788294,804,Load Login(for key),200,OK,Login  1-8,text,true,,39682,157,28,28,https://magento.softwaretestingboard.com/customer/account/login,784,0,97
1721504788414,701,Load Login(for key),200,OK,Login  1-11,text,true,,39678,157,28,28,https://magento.softwaretestingboard.com/customer/account/login,689,0,114
1721504788495,737,Load Login(for key),200,OK,Login  1-13,text,true,,39678,157,31,31,https://magento.softwaretestingboard.com/customer/account/login,702,0,90
1721504788572,724,Load Login(for key),200,OK,Login  1-15,text,true,,39688,157,33,33,https://magento.softwaretestingboard.com/customer/account/login,708,0,76
1721504788532,865,Load Login(for key),200,OK,Login  1-14,text,true,,39688,157,35,35,https://magento.softwaretestingboard.com/customer/account/login,857,0,85
1721504788612,800,Load Login(for key),200,OK,Login  1-16,text,true,,39682,157,36,36,https://magento.softwaretestingboard.com/customer/account/login,794,0,107
1721504788692,844,Load Login(for key),200,OK,Login  1-18,text,true,,39676,157,39,39,https://magento.softwaretestingboard.com/customer/account/login,824,0,122
1721504788652,927,Load Login(for key),200,OK,Login  1-17,text,true,,39684,157,40,40,https://magento.softwaretestingboard.com/customer/account/login,910,0,122
1721504788732,865,Load Login(for key),200,OK,Login  1-19,text,true,,39686,157,40,40,https://magento.softwaretestingboard.com/customer/account/login,854,0,94
1721504788454,1236,Load Login(for key),200,OK,Login  1-12,text,true,,39678,157,42,42,https://magento.softwaretestingboard.com/customer/account/login,1214,0,93
1721504788774,969,Load Login(for key),200,OK,Login  1-20,text,true,,39691,157,44,44,https://magento.softwaretestingboard.com/customer/account/login,929,0,103
1721504789091,1207,Load Login(for key),200,OK,Login  1-28,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1176,0,154
1721504789132,1167,Load Login(for key),200,OK,Login  1-29,text,true,,39684,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1167,0,110
1721504789211,1174,Load Login(for key),200,OK,Login  1-31,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1163,0,95
1721504789251,1347,Load Login(for key),200,OK,Login  1-32,text,true,,39684,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1322,0,116
1721504789052,1557,Load Login(for key),200,OK,Login  1-27,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1525,0,118
1721504789291,1402,Load Login(for key),200,OK,Login  1-33,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1398,0,80
1721504788934,1779,Load Login(for key),200,OK,Login  1-24,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1765,0,152
1721504788852,1898,Load Login(for key),200,OK,Login  1-22,text,true,,39676,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1884,0,145
1721504789171,1621,Load Login(for key),200,OK,Login  1-30,text,true,,39676,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1601,0,137
1721504789372,1513,Load Login(for key),200,OK,Login  1-35,text,true,,39680,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1497,0,119
1721504789972,1399,Load Login(for key),200,OK,Login  1-50,text,true,,39686,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1376,0,83
1721504789852,1529,Load Login(for key),200,OK,Login  1-47,text,true,,39684,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,1529,0,99
1721504788892,2600,Load Login(for key),200,OK,Login  1-23,text,true,,39684,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,2600,0,113
1721504789531,2267,Load Login(for key),200,OK,Login  1-39,text,true,,39688,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,2260,0,119
1721504788972,2909,Load Login(for key),200,OK,Login  1-25,text,true,,39676,157,50,50,https://magento.softwaretestingboard.com/customer/account/login,2889,0,132
